region_code,sgg_name,year,net_rate,population,pagerank_lag1,closeness,house_age,childcare_pk,pop_density,seoul_dist_km,ln_pop,fertility,doctor_per1000,aging_ratio,youth_ratio,fiscal_indep,employ_rate,biz_count,sewer_supply,academy_pk,culture_facility_count,senior_fac_pk,hospital_bed,extinction_risk
11305,강북구,2024,-10.581917298137853,283597.0,0.0046581240209518,214.96797717037344,36.7,20.4,12013.468952542778,9.3,12.5553,0.446,2.8,25.09996544404404,19.57312816028322,15.35,54.35,25636.0,100.0,0.8,12.0,1.3,8.2,0.779806976384811
11320,도봉구,2017,-12.47944305945387,344166.0,0.0053113500906489,241.1496584600052,9.4,18.7,16651.912156888702,11.6,12.7489,0.833,1.9,15.487830035999965,20.017607731130525,19.76,,18351.0,100.0,1.0,12.0,1.9,8.7,1.2924733603481915
11320,도봉구,2018,-13.83270528824765,339413.0,0.0051966747966958,255.8614009863795,12.6,19.5,16422.816854235567,11.6,12.735,0.774,1.9,16.434207192396308,19.67037305473552,18.47,,18894.0,100.0,1.0,10.0,1.8,8.8,1.1969164575116529
11320,도봉구,2019,-17.338508888235612,333362.0,0.0049713372875684,249.8738024319062,21.4,20.1,16134.871069862827,11.6,12.717,0.697,1.9,17.54993805551306,19.442769593506178,17.8,,18628.0,100.0,1.0,11.0,1.7,7.9,1.1078540295701222
11320,도봉구,2020,-22.926485825055263,325257.0,0.0048569579833328,254.99097594082693,26.3,21.1,15750.119125719995,11.6,12.6924,0.601,2.0,19.01075453947328,19.268088717264447,18.38,,25607.0,100.0,0.9,11.0,1.6,7.9,1.0135362421968497
11320,도봉구,2021,-18.23446746028245,317366.0,0.0050111717673815,238.3155864073158,31.0,21.4,15368.06614291393,11.6,12.6678,0.579,2.0,20.17380509000621,19.16267286768945,18.94,53.55,25391.0,100.0,0.9,12.0,1.6,7.9,0.9498789535337758
11320,도봉구,2022,-11.443916148530288,311694.0,0.0047573324499494,211.47619006799107,38.1,21.8,15093.402211320416,11.6,12.6498,0.573,2.2,21.463289433580904,18.97752610725228,19.36,55.150000000000006,25193.0,100.0,1.0,14.0,1.5,8.7,0.8841853512705531
11320,도봉구,2023,-12.04438536820569,306948.0,0.0046838864446635,198.57676988898527,40.7,22.7,14863.582943400832,11.6,12.6344,0.518,2.3,22.90804009786642,18.720047955849346,20.01,56.4,25580.0,100.0,1.0,14.0,1.5,8.4,0.8171824335855282
11320,도봉구,2024,-8.54472542113525,303228.0,0.0046514124163152,206.7177009578041,43.6,22.5,14683.507624162485,11.6,12.6222,0.568,2.3,24.433019269265145,18.442167470789403,17.27,57.15,25298.0,100.0,1.0,14.0,1.5,8.5,0.7548050966418314
11350,노원구,2017,-25.400295452946683,554403.0,0.0083543963123312,254.64230379756964,6.9,20.4,15644.34845383034,12.6,13.2256,0.938,3.1,13.33684461151074,19.96937251534981,17.76,,26516.0,100.0,1.4,15.0,2.4,7.0,1.497308628617798
11350,노원구,2018,-20.01096087922435,543752.0,0.0077519748934261,274.3046559834372,26.3,21.7,15343.754035304286,12.6,13.2062,0.809,3.2,14.12240484190432,19.876304130735832,15.64,,26616.0,100.0,1.4,19.0,2.3,6.9,1.4074305582685471
11350,노원구,2019,-20.476445145007084,532905.0,0.0078355708784509,270.33631177545806,34.2,21.3,15037.867515056683,12.6,13.1861,0.776,3.2,15.124993901363467,19.73124716178838,15.37,,26618.0,100.0,1.4,19.0,2.2,6.5,1.3045457929083646
